epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,233.231,1.08187,0.96955,1.1446,0.89759,0.82845,0.88553,0.63139,1.07268,0.81422,1.11986,0.00116021,0.00116021,0.00116021
21,243.628,1.06163,0.9083,1.12795,0.88723,0.83648,0.88444,0.64836,1.01635,0.76138,1.09142,0.00114606,0.00114606,0.00114606
22,253.78,1.05419,0.9099,1.13318,0.85085,0.86705,0.8888,0.64792,1.04584,0.78224,1.09427,0.00113191,0.00113191,0.00113191
23,268.53,1.06642,0.92343,1.13788,0.87697,0.80624,0.86262,0.62777,1.05718,0.85765,1.10046,0.00111776,0.00111776,0.00111776
24,279.708,1.03226,0.8838,1.11606,0.87918,0.86145,0.89417,0.64809,1.07019,0.79643,1.09592,0.00110362,0.00110362,0.00110362
25,289.55,1.02639,0.87219,1.11595,0.90118,0.86288,0.90653,0.67701,0.99662,0.74452,1.06984,0.00108947,0.00108947,0.00108947
26,299.354,1.02365,0.86336,1.11473,0.8998,0.81574,0.89249,0.66423,1.01218,0.77724,1.08084,0.00107532,0.00107532,0.00107532
27,309.002,1.0249,0.86421,1.11347,0.86442,0.84176,0.89345,0.651,1.03199,0.77971,1.07455,0.00106118,0.00106118,0.00106118
28,318.783,1.02467,0.85554,1.10867,0.91321,0.84677,0.90798,0.68064,0.99061,0.73186,1.06596,0.00104703,0.00104703,0.00104703
29,329.242,1.00199,0.84659,1.10029,0.88559,0.84057,0.89409,0.67037,0.95775,0.74011,1.06898,0.00103288,0.00103288,0.00103288
30,338.925,1.03125,0.84416,1.11564,0.92453,0.85739,0.90467,0.67403,0.94737,0.68929,1.04883,0.00101873,0.00101873,0.00101873
31,348.533,0.98202,0.79241,1.09226,0.90337,0.87399,0.91987,0.68604,0.99125,0.71482,1.07565,0.00100459,0.00100459,0.00100459
32,358.32,0.99189,0.84322,1.10909,0.87811,0.87244,0.90544,0.68141,0.95683,0.73154,1.04703,0.00099044,0.00099044,0.00099044
33,368.107,0.97189,0.80551,1.08411,0.92024,0.89202,0.9173,0.694,0.96227,0.67668,1.05308,0.000976293,0.000976293,0.000976293
34,377.663,0.99261,0.80127,1.09676,0.9017,0.86206,0.9174,0.70149,0.9634,0.6803,1.04909,0.000962146,0.000962146,0.000962146
35,387.551,0.99001,0.80236,1.08588,0.8808,0.89445,0.92866,0.71474,0.91708,0.64022,1.03237,0.000947999,0.000947999,0.000947999
36,397.274,0.98041,0.7853,1.07946,0.90407,0.89418,0.9266,0.71457,0.91802,0.65845,1.04001,0.000933851,0.000933851,0.000933851
37,407.895,0.96217,0.77487,1.07695,0.9216,0.87602,0.9246,0.70138,0.96075,0.67453,1.04933,0.000919704,0.000919704,0.000919704
38,417.668,0.96381,0.76468,1.0779,0.88064,0.89741,0.92636,0.70185,0.94342,0.6886,1.03764,0.000905557,0.000905557,0.000905557
39,427.72,0.95191,0.74441,1.06684,0.92646,0.88269,0.92612,0.7067,0.93217,0.6277,1.03299,0.00089141,0.00089141,0.00089141
40,437.526,0.93422,0.73372,1.06661,0.92949,0.88549,0.92311,0.70345,0.95826,0.65996,1.05023,0.000877263,0.000877263,0.000877263
41,447.563,0.94188,0.73571,1.06973,0.91746,0.91187,0.92372,0.71287,0.94214,0.6428,1.0328,0.000863116,0.000863116,0.000863116
